,x (Ams),y (Ams),z (Ams),A (kHz),B (kHz)
0,-0.0,-0.0,-2.9587,2474.014540143238,0.0
1,0.0,0.0,2.9587,2474.014540143238,0.0
2,-2.29685,-2.29685,-1.47935,341.4801376750501,356.57223492306815
3,-2.29685,-2.29685,1.47935,341.4801376750501,356.57223492306815
4,-2.29685,2.29685,-1.47935,341.4801376750501,356.57223492306815
5,-2.29685,2.29685,1.47935,341.4801376750501,356.57223492306815
6,2.29685,-2.29685,-1.47935,341.4801376750501,356.57223492306815
7,2.29685,-2.29685,1.47935,341.4801376750501,356.57223492306815
8,2.29685,2.29685,-1.47935,341.4801376750501,356.57223492306815
9,2.29685,2.29685,1.47935,341.4801376750501,356.57223492306815
10,-4.5937,0.0,0.0,330.5119443504,0.0
11,-0.0,-4.5937,0.0,330.5119443504,0.0
12,0.0,4.5937,0.0,330.5119443504,0.0
13,4.5937,0.0,0.0,330.5119443504,0.0
14,-4.5937,-0.0,-2.9587,23.64324145875838,119.94891871966743
15,-4.5937,0.0,2.9587,23.64324145875838,119.94891871966743
16,-0.0,-4.5937,-2.9587,23.64324145875838,119.94891871966743
17,-0.0,-4.5937,2.9587,23.64324145875838,119.94891871966743
18,0.0,4.5937,-2.9587,23.64324145875838,119.94891871966743
19,0.0,4.5937,2.9587,23.64324145875838,119.94891871966743
20,4.5937,-0.0,-2.9587,23.64324145875838,119.94891871966743
21,4.5937,0.0,2.9587,23.64324145875838,119.94891871966743
22,-2.29685,-2.29685,-4.43805,183.64364425821708,123.14976720683937
23,-2.29685,-2.29685,4.43805,183.64364425821708,123.14976720683937
24,-2.29685,2.29685,-4.43805,183.64364425821708,123.14976720683937
25,-2.29685,2.29685,4.43805,183.64364425821708,123.14976720683937
26,2.29685,-2.29685,-4.43805,183.64364425821708,123.14976720683937
27,2.29685,-2.29685,4.43805,183.64364425821708,123.14976720683937
28,2.29685,2.29685,-4.43805,183.64364425821708,123.14976720683937
29,2.29685,2.29685,4.43805,183.64364425821708,123.14976720683937
30,-0.0,-0.0,-5.9174,309.2518175179047,0.0
31,0.0,0.0,5.9174,309.2518175179047,0.0
32,-4.5937,-4.5937,0.0,116.85361855665933,0.0
33,-4.5937,4.5937,0.0,116.85361855665933,0.0
34,4.5937,-4.5937,0.0,116.85361855665933,0.0
35,4.5937,4.5937,0.0,116.85361855665933,0.0
36,-4.5937,-4.5937,-2.9587,42.685017209381265,44.57152936538352
37,-4.5937,-4.5937,2.9587,42.685017209381265,44.57152936538352
38,-4.5937,4.5937,-2.9587,42.685017209381265,44.57152936538352
39,-4.5937,4.5937,2.9587,42.685017209381265,44.57152936538352
40,4.5937,-4.5937,-2.9587,42.685017209381265,44.57152936538352
41,4.5937,-4.5937,2.9587,42.685017209381265,44.57152936538352
42,4.5937,4.5937,-2.9587,42.685017209381265,44.57152936538352
43,4.5937,4.5937,2.9587,42.685017209381265,44.57152936538352
44,-6.89055,-2.29685,-1.47935,69.26772035158183,20.64051814509449
45,-6.89055,-2.29685,1.47935,69.26772035158183,20.64051814509449
46,-6.89055,2.29685,-1.47935,69.26772035158183,20.64051814509449
47,-6.89055,2.29685,1.47935,69.26772035158183,20.64051814509449
48,-2.29685,-6.89055,-1.47935,69.26772035158183,20.64051814509449
49,-2.29685,-6.89055,1.47935,69.26772035158183,20.64051814509449
50,-2.29685,6.89055,-1.47935,69.26772035158183,20.64051814509449
51,-2.29685,6.89055,1.47935,69.26772035158183,20.64051814509449
52,2.29685,-6.89055,-1.47935,69.26772035158183,20.64051814509449
53,2.29685,-6.89055,1.47935,69.26772035158183,20.64051814509449
54,2.29685,6.89055,-1.47935,69.26772035158183,20.64051814509449
55,2.29685,6.89055,1.47935,69.26772035158183,20.64051814509449
56,6.89055,-2.29685,-1.47935,69.26772035158183,20.64051814509449
57,6.89055,-2.29685,1.47935,69.26772035158183,20.64051814509449
58,6.89055,2.29685,-1.47935,69.26772035158183,20.64051814509449
59,6.89055,2.29685,1.47935,69.26772035158183,20.64051814509449
60,-4.5937,-0.0,-5.9174,66.44971979616618,49.52849728837589
61,-4.5937,0.0,5.9174,66.44971979616618,49.52849728837589
62,-0.0,-4.5937,-5.9174,66.44971979616618,49.52849728837589
63,0.0,-4.5937,5.9174,66.44971979616618,49.52849728837589
64,-0.0,4.5937,-5.9174,66.44971979616618,49.52849728837589
65,0.0,4.5937,5.9174,66.44971979616618,49.52849728837589
66,4.5937,-0.0,-5.9174,66.44971979616618,49.52849728837589
67,4.5937,0.0,5.9174,66.44971979616618,49.52849728837589
68,-2.29685,-2.29685,-7.39675,92.06298232388845,30.01463822218039
69,-2.29685,-2.29685,7.39675,92.06298232388845,30.01463822218039
70,-2.29685,2.29685,-7.39675,92.06298232388845,30.01463822218039
71,-2.29685,2.29685,7.39675,92.06298232388845,30.01463822218039
72,2.29685,-2.29685,-7.39675,92.06298232388845,30.01463822218039
73,2.29685,-2.29685,7.39675,92.06298232388845,30.01463822218039
74,2.29685,2.29685,-7.39675,92.06298232388845,30.01463822218039
75,2.29685,2.29685,7.39675,92.06298232388845,30.01463822218039
76,-6.89055,-2.29685,-4.43805,9.581831388008366,31.011149550123164
77,-6.89055,-2.29685,4.43805,9.581831388008366,31.011149550123164
78,-6.89055,2.29685,-4.43805,9.581831388008366,31.011149550123164
79,-6.89055,2.29685,4.43805,9.581831388008366,31.011149550123164
80,-2.29685,-6.89055,-4.43805,9.581831388008366,31.011149550123164
81,-2.29685,-6.89055,4.43805,9.581831388008366,31.011149550123164
82,-2.29685,6.89055,-4.43805,9.581831388008366,31.011149550123164
83,-2.29685,6.89055,4.43805,9.581831388008366,31.011149550123164
84,2.29685,-6.89055,-4.43805,9.581831388008366,31.011149550123164
85,2.29685,-6.89055,4.43805,9.581831388008366,31.011149550123164
86,2.29685,6.89055,-4.43805,9.581831388008366,31.011149550123164
87,2.29685,6.89055,4.43805,9.581831388008366,31.011149550123164
88,6.89055,-2.29685,-4.43805,9.581831388008366,31.011149550123164
89,6.89055,-2.29685,4.43805,9.581831388008366,31.011149550123164
90,6.89055,2.29685,-4.43805,9.581831388008366,31.011149550123164
91,6.89055,2.29685,4.43805,9.581831388008366,31.011149550123164
92,-4.5937,-4.5937,-5.9174,17.0145845618567,31.535405830963292
93,-4.5937,-4.5937,5.9174,17.0145845618567,31.535405830963292
94,-4.5937,4.5937,-5.9174,17.0145845618567,31.535405830963292
95,-4.5937,4.5937,5.9174,17.0145845618567,31.535405830963292
96,4.5937,-4.5937,-5.9174,17.0145845618567,31.535405830963292
97,4.5937,-4.5937,5.9174,17.0145845618567,31.535405830963292
98,4.5937,4.5937,-5.9174,17.0145845618567,31.535405830963292
99,4.5937,4.5937,5.9174,17.0145845618567,31.535405830963292
100,-0.0,-0.0,-8.8761,91.63016815345321,0.0
101,0.0,0.0,8.8761,91.63016815345321,0.0
102,-9.1874,0.0,0.0,41.3139930438,0.0
103,-0.0,-9.1874,0.0,41.3139930438,0.0
104,0.0,9.1874,0.0,41.3139930438,0.0
105,9.1874,0.0,0.0,41.3139930438,0.0
106,-9.1874,-0.0,-2.9587,25.586143685631733,13.94778461452573
107,-9.1874,0.0,2.9587,25.586143685631733,13.94778461452573
108,-0.0,-9.1874,-2.9587,25.586143685631733,13.94778461452573
109,-0.0,-9.1874,2.9587,25.586143685631733,13.94778461452573
110,0.0,9.1874,-2.9587,25.586143685631733,13.94778461452573
111,0.0,9.1874,2.9587,25.586143685631733,13.94778461452573
112,9.1874,-0.0,-2.9587,25.586143685631733,13.94778461452573
113,9.1874,0.0,2.9587,25.586143685631733,13.94778461452573
114,-6.89055,-6.89055,-1.47935,31.198670072657475,6.661442836927198
115,-6.89055,-6.89055,1.47935,31.198670072657475,6.661442836927198
116,-6.89055,6.89055,-1.47935,31.198670072657475,6.661442836927198
117,-6.89055,6.89055,1.47935,31.198670072657475,6.661442836927198
118,6.89055,-6.89055,-1.47935,31.198670072657475,6.661442836927198
119,6.89055,-6.89055,1.47935,31.198670072657475,6.661442836927198
120,6.89055,6.89055,-1.47935,31.198670072657475,6.661442836927198
121,6.89055,6.89055,1.47935,31.198670072657475,6.661442836927198
122,-4.5937,-0.0,-8.8761,43.84616851521745,17.576046034987673
123,-4.5937,0.0,8.8761,43.84616851521745,17.576046034987673
124,-0.0,-4.5937,-8.8761,43.84616851521745,17.576046034987673
125,0.0,-4.5937,8.8761,43.84616851521745,17.576046034987673
126,-0.0,4.5937,-8.8761,43.84616851521745,17.576046034987673
127,0.0,4.5937,8.8761,43.84616851521745,17.576046034987673
128,4.5937,-0.0,-8.8761,43.84616851521745,17.576046034987673
129,4.5937,0.0,8.8761,43.84616851521745,17.576046034987673
130,-9.1874,-4.5937,0.0,29.561886997724873,0.0
131,-9.1874,4.5937,0.0,29.561886997724873,0.0
132,-4.5937,-9.1874,0.0,29.561886997724873,0.0
133,-4.5937,9.1874,0.0,29.561886997724873,0.0
134,4.5937,-9.1874,0.0,29.561886997724873,0.0
135,4.5937,9.1874,0.0,29.561886997724873,0.0
136,9.1874,-4.5937,0.0,29.561886997724873,0.0
137,9.1874,4.5937,0.0,29.561886997724873,0.0
138,-6.89055,-2.29685,-7.39675,15.164523752509023,19.28838877251397
139,-6.89055,-2.29685,7.39675,15.164523752509023,19.28838877251397
140,-6.89055,2.29685,-7.39675,15.164523752509023,19.28838877251397
141,-6.89055,2.29685,7.39675,15.164523752509023,19.28838877251397
142,-2.29685,-6.89055,-7.39675,15.164523752509023,19.28838877251397
