,x (Ams),y (Ams),z (Ams),A (kHz),B (kHz)
0,-2.62145,-2.62145,0.0,28.860015447315618,400.09585063046234
1,-2.62145,2.62145,0.0,28.860015447315618,400.09585063046234
2,2.62145,-2.62145,0.0,28.860015447315618,400.09585063046234
3,2.62145,2.62145,0.0,28.860015447315618,400.09585063046234
4,-2.62145,0.0,-2.843425,357.50040844854306,18.59589353436244
5,0.0,-2.62145,2.843425,68.43882654144618,213.6947391908701
6,2.62145,0.0,-2.843425,283.8356887804143,171.60175649494553
7,0.0,2.62145,2.843425,68.43882654144618,213.6947391908701
8,0.0,0.0,-5.68685,15.991196679627173,68.92229701047522
9,0.0,0.0,5.68685,15.991196679627173,68.92229701047522
10,-5.2429,-2.62145,2.843425,33.35643083890292,71.00424473366687
11,-5.2429,2.62145,2.843425,33.35643083890292,71.00424473366687
12,-2.62145,-5.2429,-2.843425,14.276642207826589,56.485248081323356
13,-2.62145,5.2429,-2.843425,14.276642207826589,56.485248081323356
14,2.62145,-5.2429,-2.843425,32.998588652499684,45.008295319907894
15,2.62145,5.2429,-2.843425,32.998588652499684,45.008295319907894
16,5.2429,-2.62145,2.843425,61.194030881749626,54.48898382892158
17,5.2429,2.62145,2.843425,61.194030881749626,54.48898382892158
18,-5.2429,0.0,-5.68685,44.68755105606788,2.324486691795305
19,-5.2429,0.0,5.68685,35.479461097551784,21.45021956186819
20,0.0,-5.2429,-5.68685,8.554853317680772,26.711842398858764
21,0.0,-5.2429,5.68685,8.554853317680772,26.711842398858764
22,0.0,5.2429,-5.68685,8.554853317680772,26.711842398858764
23,0.0,5.2429,5.68685,8.554853317680772,26.711842398858764
24,5.2429,0.0,-5.68685,35.479461097551784,21.45021956186819
25,5.2429,0.0,5.68685,44.68755105606788,2.324486691795305
26,-2.62145,-7.86435,0.0,6.724994172827001,25.00143609170684
27,2.62145,-7.86435,0.0,6.724994172827001,25.00143609170684
28,-7.86435,-2.62145,0.0,11.887630682578337,41.98738294316139
29,-7.86435,2.62145,0.0,11.887630682578337,41.98738294316139
30,-2.62145,7.86435,0.0,6.724994172827001,25.00143609170684
31,2.62145,7.86435,0.0,6.724994172827001,25.00143609170684
32,7.86435,-2.62145,0.0,11.887630682578337,41.98738294316139
33,7.86435,2.62145,0.0,11.887630682578337,41.98738294316139
34,0.0,-7.86435,2.843425,8.379124247129923,20.495797408448706
35,-7.86435,0.0,-2.843425,32.01486017243865,28.576927762564566
36,0.0,7.86435,2.843425,8.379124247129923,20.495797408448706
37,7.86435,0.0,-2.843425,8.687211975598718,40.64772575339768
38,-2.62145,0.0,8.530275,17.504097270075018,8.95535324062328
39,0.0,-2.62145,-8.530275,4.407267192254394,17.76255248150676
40,0.0,2.62145,-8.530275,4.407267192254394,17.76255248150676
41,2.62145,0.0,8.530275,11.908112667768846,17.677976583543348
42,-5.2429,-5.2429,-5.68685,15.377049119360732,16.85530974559994
43,-5.2429,-5.2429,5.68685,15.77766919499125,14.461578721530175
44,-5.2429,5.2429,-5.68685,15.377049119360732,16.85530974559994
45,-5.2429,5.2429,5.68685,15.77766919499125,14.461578721530175
46,5.2429,-5.2429,-5.68685,15.77766919499125,14.461578721530175
47,5.2429,-5.2429,5.68685,15.377049119360732,16.85530974559994
48,5.2429,5.2429,-5.68685,15.77766919499125,14.461578721530175
49,5.2429,5.2429,5.68685,15.377049119360732,16.85530974559994
50,-5.2429,-7.86435,2.843425,7.205558904062594,16.49385693787876
51,5.2429,-7.86435,2.843425,4.641198303487484,17.960711494009434
52,-7.86435,-5.2429,-2.843425,12.46430968706474,19.61507355288924
53,-7.86435,5.2429,-2.843425,12.46430968706474,19.61507355288924
54,-5.2429,7.86435,2.843425,7.205558904062594,16.49385693787876
55,5.2429,7.86435,2.843425,4.641198303487484,17.960711494009434
56,7.86435,-5.2429,-2.843425,5.305826124260379,21.948066218122975
57,7.86435,5.2429,-2.843425,5.305826124260379,21.948066218122975
58,-5.2429,-2.62145,-8.530275,13.788783854942643,8.501965847468592
59,-5.2429,2.62145,-8.530275,13.788783854942643,8.501965847468592
60,-2.62145,-5.2429,8.530275,9.534014164134305,7.882343327054311
61,-2.62145,5.2429,8.530275,9.534014164134305,7.882343327054311
62,2.62145,-5.2429,8.530275,4.480881342647222,12.394929869081928
63,2.62145,5.2429,8.530275,4.480881342647222,12.394929869081928
64,5.2429,-2.62145,-8.530275,14.241007158620391,4.2708377703008
